,Filename,total_score,description_score,education_score,experience_score,skills_score,projects_score
24,16186411,0.6742243272117618,0.5531052859957287,1,0,0.6324555320336758,0
113,83816738,0.5724164162357994,0.5438274450895405,0.8799999999999999,0,0.4472135954999579,0
13,12763627,0.5294771249089818,0.43647921677249657,0.8799999999999999,0,0.4472135954999579,0
77,28126340,0.4975598090420731,0.4016859271052247,0.7899999999999999,0,0.4472135954999579,0
14,13385306,0.49137880550171986,0.3862334182543416,0.7899999999999999,0,0.4472135954999579,0
111,79541391,0.48293568518444824,0.32012561746116264,0.8799999999999999,0,0.4472135954999579,0
42,20024870,0.47507751912162516,0.24048020230410483,1,0,0.4472135954999579,0
45,20674668,0.4746602119275256,0.5541949977851383,0,1,0.6324555320336758,0
2,10265057,0.46929140231839506,0.22601491029602966,1,0,0.4472135954999579,0
91,36434348,0.4597023795666618,0.30704235341669656,0.7899999999999999,0,0.4472135954999579,0
32,18067556,0.43812631266310686,0.2531021861578093,0.7899999999999999,0,0.4472135954999579,0
67,26746496,0.42271216259343686,0.5567804064835921,1,0,0,0
99,41344156,0.413024332044573,0.19034723461147451,0.7899999999999999,0,0.4472135954999579,0
65,25990239,0.3957923278447467,0.48948081961186674,1,0,0,0
102,51363762,0.3869940427293681,0.46748510682342015,1,1,0,0
36,18301617,0.38054293577660325,0.45135733944150813,1,0,0,0
0,10089434,0.3779628191105843,0.44490704777646073,1,0,0,0
44,20408458,0.3742058669497015,0.4355146673742537,1,0,0,0
93,37242217,0.36745890029116546,0.47143365522795566,0,0,0.4472135954999579,0
8,11584809,0.3647294209168821,0.41182355229220524,1,0,0,0
22,15791766,0.36336095759027554,0.4084023939756888,1,0,0,0
86,31243710,0.3593760301122768,0.3984400752806919,1,1,0,0
28,17641670,0.35897488992644533,0.3974372248161133,1,0,0,0
12,12635195,0.35892067673611916,0.39730169184029784,1,0,0,0
83,29975124,0.35593558759366195,0.44983896898415493,0.8799999999999999,0,0,0
76,28035460,0.3555910760321987,0.3889776900804967,1,0,0,0
64,25959103,0.34869797798340696,0.3717449449585174,1,0,0,0
10,12045067,0.3431848399148536,0.3579620997871339,1,0,0,0
90,35325329,0.33760373812537015,0.3440093453134253,1,0,0,0
98,40018190,0.3356621043765323,0.44415526094133084,0.7899999999999999,0,0,0
3,10553553,0.3339222684969184,0.33480567124229593,1,0,0,0
50,22450718,0.3321638045784898,0.3304095114462245,1,0,0,0
47,20879311,0.3243398253174574,0.46084956329364346,0.7,0,0,0
40,19850482,0.3219857368188262,0.3649643420470655,0.8799999999999999,0,0,0
29,17681064,0.32184052903675364,0.45460132259188407,0.7,0,0,0
110,70089206,0.31978363833203205,0.44945909583008015,0.7,0,0,0
33,18159866,0.31817689021437934,0.3554422255359483,0.8799999999999999,0,0,0
30,17688766,0.3169499159519953,0.44237478987998824,0.7,0,0,0
114,89413122,0.3163320680102622,0.2908301700256555,1,0,0,0
6,10840430,0.31267970143404855,0.4316992535851213,0.7,0,0,0
96,39413067,0.3085939335514304,0.3242712383786181,0,0,0.4472135954999579,0
84,30223363,0.3044104562930846,0.3138125452327536,0,0,0.4472135954999579,0
46,20824105,0.302026589520734,0.40506647380183514,0.7,0,0,0
4,10641230,0.301667368116203,0.3069548247905496,0,0,0.4472135954999579,0
72,27372171,0.2964995753161394,0.3462489382903485,0.7899999999999999,0,0,0
78,28672970,0.2944868555940527,0.2962171389851317,0.8799999999999999,0,0,0
101,48037995,0.29319699212558914,0.2329924803139728,1,0,0,0
51,22776912,0.29167607244015575,0.22919018110038936,1,0,0,0
74,27536013,0.29036538064189826,0.37591345160474565,0.7,0,0,0
94,37764298,0.28949512201329425,0.37373780503323567,0.7,0,0,0
18,14789139,0.2882144251820892,0.22053606295522285,1,0,0,0
55,24020470,0.28732480589317116,0.36831201473292796,0.7,0,0,0
70,27058381,0.283721240811448,0.2093031020286199,1,0,0,0
103,51639418,0.28341521649832674,0.20853804124581682,1,0,0,0
35,18187364,0.28266549408594444,0.35666373521486106,0.7,0,0,0
109,68460556,0.2821962239839514,0.35549055995987844,0.7,0,0,0
105,52618188,0.2798635514828631,0.34965887870715784,0.7,0,0,0
